sku,date,weekly_sales,weekly_onpromo
Bakery products,2015-08-09,184007.60623,1589
Bakery products,2015-08-16,197508.49803,1555
Bakery products,2015-08-23,183990.38596,1588
Bakery products,2015-08-30,190183.58503,1484
Bakery products,2015-09-06,221204.82999,1666
Bakery products,2015-09-13,197646.11309,1757
Bakery products,2015-09-20,197338.99397,1656
Bakery products,2015-09-27,191727.63598,1556
Bakery products,2015-10-04,204268.11397,1625
Bakery products,2015-10-11,191904.52405,1660
Bakery products,2015-10-18,194682.682,1541
Bakery products,2015-10-25,186352.22396,1411
Bakery products,2015-11-01,161229.05585,1365
Bakery products,2015-11-08,201621.513,1460
Bakery products,2015-11-15,180402.89888,1411
Bakery products,2015-11-22,182166.1379,1440
Bakery products,2015-11-29,174510.00799,1399
Bakery products,2015-12-06,188342.95097,1395
Bakery products,2015-12-13,176139.80603,1389
Bakery products,2015-12-20,178118.76806,1344
Bakery products,2015-12-27,156657.61506,1250
Bakery products,2016-01-03,176071.08905,1372
Bakery products,2016-01-10,195918.2121,1492
Bakery products,2016-01-17,182528.048,1525
Bakery products,2016-01-24,179658.60901,1477
Bakery products,2016-01-31,181073.05817,1413
Bakery products,2016-02-07,175972.32191,1255
Bakery products,2016-02-14,180902.920135,1356
Bakery products,2016-02-21,182927.07098,1384
Bakery products,2016-02-28,180036.50104,1608
Bakery products,2016-03-06,208739.09508,2037
Bakery products,2016-03-13,188368.65788,2306
Bakery products,2016-03-20,186109.40308,2193
Bakery products,2016-03-27,173456.62206,1815
Bakery products,2016-04-03,203391.40587,1667
Bakery products,2016-04-10,189286.85797,1583
Bakery products,2016-04-17,185350.82696,1625
Bakery products,2016-04-24,215510.35185,1729
Bakery products,2016-05-01,201968.896,2285
Bakery products,2016-05-08,206996.31288,8964
Bakery products,2016-05-15,208491.35308,7363
Bakery products,2016-05-22,205358.574,6659
Bakery products,2016-05-29,198463.98531,7022
Bakery products,2016-06-05,227332.3252,5473
Bakery products,2016-06-12,205444.94803,3374
Bakery products,2016-06-19,202993.61704,3408
Bakery products,2016-06-26,203700.99897,2875
Bakery products,2016-07-03,212389.61601,2561
Bakery products,2016-07-10,207133.10017,3416
Bakery products,2016-07-17,199282.97507,2894
Bakery products,2016-07-24,192121.8239,2050
Bakery products,2016-07-31,194237.92702,2112
Bakery products,2016-08-07,207357.05095,2499
Bakery products,2016-08-14,190311.51505,3647
Bakery products,2016-08-21,198473.40899999999,3758
Bakery products,2016-08-28,186978.93398,2881
Bakery products,2016-09-04,207899.94497,4004
Bakery products,2016-09-11,209132.40805,4632
Bakery products,2016-09-18,198622.511,4663
Bakery products,2016-09-25,192085.799,4604
Bakery products,2016-10-02,202512.92698,4114
Bakery products,2016-10-09,204507.92398,2540
Bakery products,2016-10-16,195100.11502,2531
Bakery products,2016-10-23,188838.2909,2244
Bakery products,2016-10-30,180011.614,2825
Bakery products,2016-11-06,201351.22993,3498
Bakery products,2016-11-13,208557.68008,3513
Bakery products,2016-11-20,200687.052,2919
Bakery products,2016-11-27,191267.12205,2973
Bakery products,2016-12-04,206641.20507,3451
Bakery products,2016-12-11,201388.97393,2828
Bakery products,2016-12-18,194645.8361,2229
Bakery products,2016-12-25,168017.50201,625
Bakery products,2017-01-01,168515.71502,795
Bakery products,2017-01-08,245140.984,3377
Bakery products,2017-01-15,212560.68396,3899
Bakery products,2017-01-22,213760.11196,3525
Bakery products,2017-01-29,211541.3998,3907
Bakery products,2017-02-05,227537.5401,3979
Bakery products,2017-02-12,213930.35,4938
Bakery products,2017-02-19,206879.91918,4371
Bakery products,2017-02-26,196205.91012,3451
Bakery products,2017-03-05,234583.97597,6304
Bakery products,2017-03-12,217091.73108,5659
Bakery products,2017-03-19,223622.77,4572
Bakery products,2017-03-26,211630.89191,3489
Bakery products,2017-04-02,215961.07801,2561
Bakery products,2017-04-09,203268.77807,2551
Bakery products,2017-04-16,187360.54991,3380
Bakery products,2017-04-23,203256.89987,4063
Bakery products,2017-04-30,200220.45999,4256
Bakery products,2017-05-07,236730.9589,4190
Bakery products,2017-05-14,200756.6071,3061
Bakery products,2017-05-21,217774.89697,3107
Bakery products,2017-05-28,206795.6312,3123
Bakery products,2017-06-04,225467.32994,2368
Bakery products,2017-06-11,210318.88109,1720
Bakery products,2017-06-18,204580.396,1882
Bakery products,2017-06-25,214031.14816,3041
Bakery products,2017-07-02,215722.95313,3598
Bakery products,2017-07-09,216708.53999,4189
Bakery products,2017-07-16,204034.84701,3695
Bakery products,2017-07-23,196272.52192,3150
Bakery products,2017-07-30,199331.79809,2607
Bakery products,2017-08-06,215378.20987,3510
Bakery products,2017-08-13,194256.639,4644
Bakery products,2017-08-20,57160.65202,1002
Beverages,2013-01-06,343176.0,0
Beverages,2013-01-13,395261.0,0
Beverages,2013-01-20,398667.0,0
Beverages,2013-01-27,363118.0,0
Beverages,2013-02-03,379430.0,0
Beverages,2013-02-10,362174.0,0
Beverages,2013-02-17,382892.0,0
Beverages,2013-02-24,376604.0,0
Beverages,2013-03-03,408597.0,0
Beverages,2013-03-10,414002.0,0
Beverages,2013-03-17,387633.0,0
Beverages,2013-03-24,376895.0,0
Beverages,2013-03-31,412678.0,0
Beverages,2013-04-07,441419.0,0
Beverages,2013-04-14,412046.0,0
Beverages,2013-04-21,399330.0,0
Beverages,2013-04-28,394891.0,0
Beverages,2013-05-05,452789.0,0
Beverages,2013-05-12,401141.0,0
Beverages,2013-05-19,430124.0,0
Beverages,2013-05-26,396376.0,0
Beverages,2013-06-02,424726.0,0
Beverages,2013-06-09,426212.0,0
Beverages,2013-06-16,403539.0,0
Beverages,2013-06-23,416427.0,0
Beverages,2013-06-30,397330.0,0
Beverages,2013-07-07,403459.0,0
Beverages,2013-07-14,364895.0,0
Beverages,2013-07-21,373483.0,0
Beverages,2013-07-28,378675.0,0
Beverages,2013-08-04,416164.0,0
Beverages,2013-08-11,402712.0,0
Beverages,2013-08-18,401151.0,0
Beverages,2013-08-25,397122.0,0
Beverages,2013-09-01,440996.0,0
Beverages,2013-09-08,465327.0,0
Beverages,2013-09-15,428211.0,0
Beverages,2013-09-22,435320.0,0
Beverages,2013-09-29,425908.0,0
Beverages,2013-10-06,459752.0,0
Beverages,2013-10-13,432458.0,0
Beverages,2013-10-20,413214.0,0
Beverages,2013-10-27,404887.0,0
Beverages,2013-11-03,437991.0,0
Beverages,2013-11-10,453556.0,0
Beverages,2013-11-17,442226.0,0
Beverages,2013-11-24,422023.0,0
Beverages,2013-12-01,444877.0,0
Beverages,2013-12-08,474920.0,0
Beverages,2013-12-15,474963.0,0
Beverages,2013-12-22,507480.0,0
Beverages,2013-12-29,490514.0,0
Beverages,2014-01-05,945566.0,0
Beverages,2014-01-12,969125.0,0
Beverages,2014-01-19,955126.0,0
Beverages,2014-01-26,929288.0,0
Beverages,2014-02-02,731437.0,0
Beverages,2014-02-09,469922.0,0
Beverages,2014-02-16,494705.0,0
Beverages,2014-02-23,466331.0,0
Beverages,2014-03-02,639190.0,0
Beverages,2014-03-09,1082450.0,0
Beverages,2014-03-16,942669.0,0
Beverages,2014-03-23,952345.0,0
Beverages,2014-03-30,959818.0,0
Beverages,2014-04-06,621362.0,2
Beverages,2014-04-13,500114.0,3
Beverages,2014-04-20,499846.0,7
Beverages,2014-04-27,473147.0,11
Beverages,2014-05-04,500945.0,36
Beverages,2014-05-11,464211.0,26
Beverages,2014-05-18,472106.0,67
Beverages,2014-05-25,450441.0,162
Beverages,2014-06-01,470280.0,219
Beverages,2014-06-08,504227.0,213
Beverages,2014-06-15,469083.0,254
Beverages,2014-06-22,497868.0,274
Beverages,2014-06-29,450944.0,294
Beverages,2014-07-06,998377.0,754
Beverages,2014-07-13,918220.0,679
Beverages,2014-07-20,945163.0,611
Beverages,2014-07-27,913434.0,468
Beverages,2014-08-03,730932.0,270
Beverages,2014-08-10,456714.0,302
Beverages,2014-08-17,455281.0,400
Beverages,2014-08-24,455634.0,440
Beverages,2014-08-31,475390.0,251
Beverages,2014-09-07,1131264.0,670
Beverages,2014-09-14,983366.0,692
Beverages,2014-09-21,987933.0,708
Beverages,2014-09-28,951707.0,703
Beverages,2014-10-05,1110383.0,819
Beverages,2014-10-12,996383.0,771
Beverages,2014-10-19,1007980.0,659
Beverages,2014-10-26,957481.0,520
Beverages,2014-11-02,896932.0,561
Beverages,2014-11-09,1160004.0,583
Beverages,2014-11-16,977349.0,611
Beverages,2014-11-23,971954.0,993
Beverages,2014-11-30,991564.0,997
Beverages,2014-12-07,1124578.0,1447
Beverages,2014-12-14,1065119.0,1285
Beverages,2014-12-21,1114362.0,1333
Beverages,2014-12-28,1026015.0,1571
Beverages,2015-01-04,870126.0,1056
Beverages,2015-01-11,592503.0,489
Beverages,2015-01-18,551581.0,453
Beverages,2015-01-25,510186.0,279
Beverages,2015-02-01,518450.0,304
Beverages,2015-02-08,537556.0,390
Beverages,2015-02-15,513533.0,371
Beverages,2015-02-22,588238.0,258
Beverages,2015-03-01,527877.0,194
Beverages,2015-03-08,564253.0,179
Beverages,2015-03-15,538044.0,164
Beverages,2015-03-22,491863.0,175
Beverages,2015-03-29,487493.0,230
Beverages,2015-04-05,542678.0,305
Beverages,2015-04-12,551179.0,347
Beverages,2015-04-19,532415.0,483
Beverages,2015-04-26,537863.0,582
Beverages,2015-05-03,603444.0,605
Beverages,2015-05-10,599518.0,566
Beverages,2015-05-17,738624.0,663
Beverages,2015-05-24,705282.0,541
Beverages,2015-05-31,1148094.0,769
Beverages,2015-06-07,1213677.0,1029
Beverages,2015-06-14,1083104.0,858
Beverages,2015-06-21,1100288.0,1681
Beverages,2015-06-28,1084973.0,1688
Beverages,2015-07-05,1235782.0,1735
Beverages,2015-07-12,1087719.0,1765
Beverages,2015-07-19,1036965.0,1755
Beverages,2015-07-26,1010871.0,2630
Beverages,2015-08-02,1082742.0,2676
Beverages,2015-08-09,1041690.0,2188
Beverages,2015-08-16,1153580.0,1375
Beverages,2015-08-23,1045599.0,1810
Beverages,2015-08-30,1079183.0,2259
Beverages,2015-09-06,1427123.0,2895
Beverages,2015-09-13,1273003.0,4152
Beverages,2015-09-20,1274411.0,4285
Beverages,2015-09-27,1237289.0,4366
Beverages,2015-10-04,1360042.0,4086
Beverages,2015-10-11,1262961.0,3739
Beverages,2015-10-18,1178516.0,2390
Beverages,2015-10-25,1123046.0,916
Beverages,2015-11-01,1012480.0,2139
Beverages,2015-11-08,1300124.0,4001
Beverages,2015-11-15,1111074.0,4083
Beverages,2015-11-22,1123847.0,4712
Beverages,2015-11-29,1114457.0,3980
Beverages,2015-12-06,1281595.0,3856
Beverages,2015-12-13,1188989.0,3910
Beverages,2015-12-20,1223513.0,4424
Beverages,2015-12-27,1177640.0,3477
Beverages,2016-01-03,1326089.0,2398
Beverages,2016-01-10,1361790.0,937
Beverages,2016-01-17,1160667.0,836
Beverages,2016-01-24,1125070.0,840
Beverages,2016-01-31,1105470.0,3109
Beverages,2016-02-07,1148425.0,5931
Beverages,2016-02-14,1133897.0,7903
Beverages,2016-02-21,1168159.0,5196
Beverages,2016-02-28,1121933.0,8136
Beverages,2016-03-06,1267907.0,6645
Beverages,2016-03-13,1109723.0,6290
Beverages,2016-03-20,1111627.0,6006
Beverages,2016-03-27,1104068.0,2926
Beverages,2016-04-03,1238918.0,3565
Beverages,2016-04-10,1177668.0,6967
Beverages,2016-04-17,1166211.0,7224
Beverages,2016-04-24,1730603.0,7775
Beverages,2016-05-01,1196374.0,10340
Beverages,2016-05-08,1215572.0,12114
Beverages,2016-05-15,1175238.0,10509
Beverages,2016-05-22,1124359.0,8393
Beverages,2016-05-29,1056272.0,10545
Beverages,2016-06-05,1200478.0,9962
Beverages,2016-06-12,999836.0,7855
Beverages,2016-06-19,1044342.0,8105
Beverages,2016-06-26,1066926.0,5228
Beverages,2016-07-03,1120856.0,3872
Beverages,2016-07-10,1101970.0,5841
Beverages,2016-07-17,1043018.0,3987
Beverages,2016-07-24,1012486.0,3438
Beverages,2016-07-31,1055073.0,3229
Beverages,2016-08-07,1155476.0,7939
Beverages,2016-08-14,1080380.0,11122
Beverages,2016-08-21,1130612.0,11967
Beverages,2016-08-28,1071620.0,9595
Beverages,2016-09-04,1253992.0,7448
Beverages,2016-09-11,1207442.0,5650
Beverages,2016-09-18,1084355.0,8163
Beverages,2016-09-25,1062888.0,12245
Beverages,2016-10-02,1174809.0,11322
Beverages,2016-10-09,1178384.0,6677
Beverages,2016-10-16,1113727.0,3664
Beverages,2016-10-23,1111548.0,5157
Beverages,2016-10-30,1078657.0,14281
Beverages,2016-11-06,1398627.0,17643
Beverages,2016-11-13,1311701.0,16042
Beverages,2016-11-20,1312090.0,16177
Beverages,2016-11-27,1272342.0,20723
Beverages,2016-12-04,1399914.0,23246
Beverages,2016-12-11,1342912.0,23786
Beverages,2016-12-18,1288254.0,22236
Beverages,2016-12-25,1250784.0,19469
Beverages,2017-01-01,1271454.0,18545
Beverages,2017-01-08,1714281.0,14621
Beverages,2017-01-15,1395062.0,13373
Beverages,2017-01-22,1431048.0,14951
Beverages,2017-01-29,1285322.0,12484
Beverages,2017-02-05,1362405.0,10077
Beverages,2017-02-12,1263005.0,7006
Beverages,2017-02-19,1199955.0,5514
Beverages,2017-02-26,1205691.0,5332
Beverages,2017-03-05,1483081.0,7095
Beverages,2017-03-12,1335778.0,7268
Beverages,2017-03-19,1426100.0,8477
Beverages,2017-03-26,1409934.0,7860
Beverages,2017-04-02,1457075.0,6378
Beverages,2017-04-09,1370345.0,4824
Beverages,2017-04-16,1312699.0,9025
Beverages,2017-04-23,1319957.0,11461
Beverages,2017-04-30,1325665.0,12675
Beverages,2017-05-07,1524916.0,8932
Beverages,2017-05-14,1199891.0,9922
Beverages,2017-05-21,1317735.0,10377
Beverages,2017-05-28,1290194.0,11036
Beverages,2017-06-04,1493682.0,9187
Beverages,2017-06-11,1465103.0,9251
Beverages,2017-06-18,1313649.0,7436
Beverages,2017-06-25,1274435.0,9317
Beverages,2017-07-02,1326264.0,11223
Beverages,2017-07-09,1368223.0,14416
Beverages,2017-07-16,1361851.0,14899
Beverages,2017-07-23,1348452.0,12155
Beverages,2017-07-30,1361379.0,9788
Beverages,2017-08-06,1436505.0,7899
Beverages,2017-08-13,1223297.0,6632
Beverages,2017-08-20,345605.0,1939
Ready meals,2013-01-06,25504.100981,0
Ready meals,2013-01-13,31511.893988,0
Ready meals,2013-01-20,32581.061041,0
Ready meals,2013-01-27,31771.420978,0
Ready meals,2013-02-03,32649.484904,0
Ready meals,2013-02-10,30714.69201,0
Ready meals,2013-02-17,32816.503991,0
Ready meals,2013-02-24,30805.476093,0
Ready meals,2013-03-03,33102.424087,0
Ready meals,2013-03-10,32701.400922,0
Ready meals,2013-03-17,31664.114,0
Ready meals,2013-03-24,31975.255094,0
Ready meals,2013-03-31,37065.050958,0
Ready meals,2013-04-07,33257.285934,0
Ready meals,2013-04-14,29826.470898,0
Ready meals,2013-04-21,30606.847996,0
Ready meals,2013-04-28,29897.065958,0
Ready meals,2013-05-05,34990.594904,0
Ready meals,2013-05-12,30829.026049,0
Ready meals,2013-05-19,32345.707879,0
Ready meals,2013-05-26,32427.333053,0
Ready meals,2013-06-02,33108.394964,0
Ready meals,2013-06-09,33605.962062,0
Ready meals,2013-06-16,30947.482929,0
Ready meals,2013-06-23,31764.602063,0
Ready meals,2013-06-30,31900.478035,0
Ready meals,2013-07-07,34212.770027,0
Ready meals,2013-07-14,31896.075031,0
Ready meals,2013-07-21,31394.116044,0
Ready meals,2013-07-28,31633.710035,0
Ready meals,2013-08-04,32665.870983,0
Ready meals,2013-08-11,32227.700928,0
Ready meals,2013-08-18,31920.290901,0
Ready meals,2013-08-25,30899.978931,0
Ready meals,2013-09-01,33854.282985,0
Ready meals,2013-09-08,36336.121039,0
Ready meals,2013-09-15,32420.181953,0
Ready meals,2013-09-22,29173.363938,0
Ready meals,2013-09-29,28190.922052,0
Ready meals,2013-10-06,31133.908018000002,0
Ready meals,2013-10-13,30416.002021,0
Ready meals,2013-10-20,31396.63205,0
Ready meals,2013-10-27,29899.820926,0
Ready meals,2013-11-03,32463.989996,0
Ready meals,2013-11-10,33597.736059,0
Ready meals,2013-11-17,32587.637894,0
Ready meals,2013-11-24,32169.272969,0
Ready meals,2013-12-01,32388.578989999998,0
Ready meals,2013-12-08,34725.876967,0
Ready meals,2013-12-15,32848.445991,0
Ready meals,2013-12-22,35486.407925,0
Ready meals,2013-12-29,29555.934016,0
Ready meals,2014-01-05,36020.586983,0
Ready meals,2014-01-12,37864.184112,0
Ready meals,2014-01-19,36894.798014,0
Ready meals,2014-01-26,36205.578945,0
Ready meals,2014-02-02,35137.260044,0
Ready meals,2014-02-09,33910.079014,0
Ready meals,2014-02-16,34017.190001,0
Ready meals,2014-02-23,33468.042998,0
Ready meals,2014-03-02,34262.163034,0
Ready meals,2014-03-09,38774.348949,0
Ready meals,2014-03-16,35730.91593,0
Ready meals,2014-03-23,35991.685927,0
Ready meals,2014-03-30,35578.680996,0
Ready meals,2014-04-06,37146.259939,0
Ready meals,2014-04-13,34823.176875,1
Ready meals,2014-04-20,38771.492991,3
Ready meals,2014-04-27,31783.237029,4
Ready meals,2014-05-04,35871.916001,4
Ready meals,2014-05-11,31854.507019,4
Ready meals,2014-05-18,33668.726896,10
Ready meals,2014-05-25,32163.226999,10
Ready meals,2014-06-01,32836.72103,11
Ready meals,2014-06-08,34222.009091,12
Ready meals,2014-06-15,33288.453067,15
Ready meals,2014-06-22,33772.382035,19
Ready meals,2014-06-29,32589.315034,21
Ready meals,2014-07-06,37567.10097,54
Ready meals,2014-07-13,34476.463932,60
Ready meals,2014-07-20,33726.986041,61
Ready meals,2014-07-27,32366.720014,65
Ready meals,2014-08-03,34388.559037,60
Ready meals,2014-08-10,32562.385001,32
Ready meals,2014-08-17,32906.53197,39
Ready meals,2014-08-24,31975.88202,29
Ready meals,2014-08-31,32822.105032,30
Ready meals,2014-09-07,37169.413042,53
Ready meals,2014-09-14,34739.570031,57
Ready meals,2014-09-21,35014.779072,54
Ready meals,2014-09-28,36125.779986,56
Ready meals,2014-10-05,38955.703001,54
Ready meals,2014-10-12,36808.02301,53
Ready meals,2014-10-19,36064.672023,56
Ready meals,2014-10-26,35991.770059,62
Ready meals,2014-11-02,33276.320042,56
Ready meals,2014-11-09,39295.70898,60
Ready meals,2014-11-16,34980.449056,61
Ready meals,2014-11-23,35459.300951,56
Ready meals,2014-11-30,34755.551078,61
Ready meals,2014-12-07,38382.322984,51
Ready meals,2014-12-14,34636.360949,53
Ready meals,2014-12-21,35401.159066,61
Ready meals,2014-12-28,29962.317046,64
Ready meals,2015-01-04,32790.785957,58
Ready meals,2015-01-11,36878.391992,31
Ready meals,2015-01-18,35913.596001,37
Ready meals,2015-01-25,35761.520038,36
Ready meals,2015-02-01,35913.243986,41
Ready meals,2015-02-08,36002.283945,47
Ready meals,2015-02-15,33001.25901,67
Ready meals,2015-02-22,36388.705001,54
Ready meals,2015-03-01,35382.223992,42
Ready meals,2015-03-08,35600.300916,34
Ready meals,2015-03-15,34818.977015,39
Ready meals,2015-03-22,35760.206103,33
Ready meals,2015-03-29,37051.528960999996,34
Ready meals,2015-04-05,44084.277027,30
Ready meals,2015-04-12,34662.301047,36
Ready meals,2015-04-19,34680.984006,35
Ready meals,2015-04-26,34434.663975,34
Ready meals,2015-05-03,35454.036943,35
Ready meals,2015-05-10,34570.537046,34
Ready meals,2015-05-17,34437.455008,29
Ready meals,2015-05-24,34340.551038,36
Ready meals,2015-05-31,35309.093988,43
Ready meals,2015-06-07,38816.315987,61
Ready meals,2015-06-14,37124.879015,63
Ready meals,2015-06-21,37509.192974,212
Ready meals,2015-06-28,38757.763952,210
Ready meals,2015-07-05,42626.471954,209
Ready meals,2015-07-12,38529.149948,214
Ready meals,2015-07-19,39257.160031,232
Ready meals,2015-07-26,39129.959993,228
Ready meals,2015-08-02,38644.021028,239
Ready meals,2015-08-09,38101.892998,257
Ready meals,2015-08-16,39330.772037,246
Ready meals,2015-08-23,38390.206944,242
Ready meals,2015-08-30,39730.218992,251
Ready meals,2015-09-06,44567.176956,258
Ready meals,2015-09-13,40955.970025,247
Ready meals,2015-09-20,41165.065021,245
Ready meals,2015-09-27,39869.841977,259
Ready meals,2015-10-04,43511.118979,258
Ready meals,2015-10-11,41986.616036,243
Ready meals,2015-10-18,40898.611055,261
Ready meals,2015-10-25,39940.665999,267
Ready meals,2015-11-01,37376.434,254
Ready meals,2015-11-08,44757.042002,254
Ready meals,2015-11-15,41131.601042,261
Ready meals,2015-11-22,40483.713064,252
Ready meals,2015-11-29,39570.578933,241
Ready meals,2015-12-06,43327.121823,268
Ready meals,2015-12-13,39733.557077,253
Ready meals,2015-12-20,42968.794043,263
Ready meals,2015-12-27,35808.554066,235
Ready meals,2016-01-03,36935.8331,220
Ready meals,2016-01-10,42922.861935,219
Ready meals,2016-01-17,40716.171009,257
Ready meals,2016-01-24,39749.651038,265
Ready meals,2016-01-31,40458.319974,269
Ready meals,2016-02-07,42313.004033,250
Ready meals,2016-02-14,40541.389966,265
Ready meals,2016-02-21,39582.251007,256
Ready meals,2016-02-28,38777.875979,256
Ready meals,2016-03-06,41913.767010999996,273
Ready meals,2016-03-13,38748.124031,258
Ready meals,2016-03-20,40804.712988,276
Ready meals,2016-03-27,44764.598963000004,267
Ready meals,2016-04-03,41915.401975,271
Ready meals,2016-04-10,41349.860028,275
Ready meals,2016-04-17,39410.600051,265
Ready meals,2016-04-24,40753.92999,268
Ready meals,2016-05-01,40290.358983,314
Ready meals,2016-05-08,39919.236965,372
Ready meals,2016-05-15,39491.642033,386
Ready meals,2016-05-22,38934.504072,362
Ready meals,2016-05-29,38149.12601,375
Ready meals,2016-06-05,41697.490008,339
Ready meals,2016-06-12,39704.842085,360
Ready meals,2016-06-19,39009.330995,340
Ready meals,2016-06-26,37897.87196,293
Ready meals,2016-07-03,39807.079909,266
Ready meals,2016-07-10,39051.508983,256
Ready meals,2016-07-17,38872.513978,338
Ready meals,2016-07-24,38245.306998,404
Ready meals,2016-07-31,38029.716015,386
